appid,name,tags,price,reviews,reviewScore,copiesSold,revenue,followers
201270,Total War: SHOGUN 2,"['Strategy', 'Historical', 'Turn-Based Strategy', 'RTS', 'Grand Strategy', 'Tactical', 'Singleplayer', 'Multiplayer', 'Real Time Tactics', 'Military', 'Diplomacy', 'Ninja', 'Co-op', 'Turn-Based', 'Medieval', 'Great Soundtrack', 'Moddable', 'Turn-Based Tactics', 'Action', 'Stylized']",29.99,58949,92,1743937,34530069,
115300,Call of Duty®: Modern Warfare® 3 (2011),"['Action', 'FPS', 'Multiplayer', 'Shooter', 'First-Person', 'Singleplayer', 'War', 'Military', 'Online Co-Op', 'Co-op', 'Controller', 'Casual', 'Story Rich', 'Survival', 'Linear', 'Adventure', 'Zombies', 'Dog', 'Point & Click', 'Massively Multiplayer']",39.99,36063,89,781394,23522976,
56437,"Warhammer 40,000: Dawn of War II: Retribution","['Warhammer 40K', 'Strategy', 'RTS', 'Tactical', 'Multiplayer', 'Sci-fi', 'Games Workshop', 'Online Co-Op', 'Co-op', 'Singleplayer', 'Real-Time', 'Futuristic', 'Gore', 'RPG', 'Action', 'Fantasy', 'Great Soundtrack', 'Atmospheric', 'Adventure', 'Co-op Campaign']",29.99,11630,91,452664,9048697,
901735,The Stronghold Collection,"['City Builder', 'Real Time Tactics', 'Medieval', 'Colony Sim', 'Sandbox', 'Building', 'Economy', 'Management', 'War', 'Military', 'Base Building', 'Strategy', 'RTS', 'Real-Time', 'Isometric', 'Top-Down', 'Historical', 'Open World', 'Simulation', 'Resource Management']",24.99,4770,89,164683,3618929,
1098293,DOOM Eternal: The Ancient Gods - Part Two,"['Action', 'Violent', 'Gore', 'FPS', 'Great Soundtrack', 'Demons', 'Singleplayer', 'Difficult', 'Multiplayer', 'Fast-Paced', 'First-Person', 'Shooter', 'Blood']",19.99,4583,62,189360,1976082,
2662630,The Elder Scrolls Online: Gold Road,"['RPG', 'MMORPG', 'Adventure', 'Open World', 'Massively Multiplayer', 'Fantasy', 'Action', 'Exploration', 'Multiplayer', 'Singleplayer', 'Character Customization', 'PvP', 'PvE', 'Lore-Rich', 'Choose Your Own Adventure', 'Story Rich', 'Action RPG', 'Magic', 'Class-Based', 'Atmospheric']",39.99,241,0,36151,1195654,
283620,World of Subways 3 – London Underground Circle Line,"['Simulation', 'Trains', 'Casual', 'Driving', 'Realistic', 'Indie', 'Adventure', 'Underground', 'Relaxing', 'Exploration', 'Singleplayer', 'Atmospheric', 'Colorful', 'Family Friendly', 'Open World', 'Physics', 'Automobile Sim', 'Horror', 'Replay Value', 'Post-apocalyptic']",19.99,616,74,34618,410522,
901776,Fate of the World: Tipping Point,"['Strategy', 'Political Sim', 'Simulation', 'Turn-Based', 'Indie', 'Political', 'Difficult', 'Politics', 'Casual', 'Education', 'Nature', 'Singleplayer', 'Card Game']",18.99,429,79,17894,284146,
283560,Munich Bus Simulator,"['Simulation', 'Automobile Sim', 'Driving', 'Realistic', 'Singleplayer', 'Casual', 'Physics', 'Exploration', 'Replay Value', 'Relaxing', 'Adventure', 'Colorful', 'Family Friendly', 'Walking Simulator', 'Open World', 'Action']",14.99,308,59,13572,229202,
4780,Medieval II: Total War™ Kingdoms,"['Strategy', 'Medieval', 'Historical', 'Grand Strategy', 'Singleplayer', 'Multiplayer', 'Moddable', 'RTS', 'Turn-Based Strategy', 'Turn-Based', 'War', 'Classic', 'Great Soundtrack']",24.99,631,95,43410,202830,
901399,Sam & Max: The Devil’s Playhouse ,"['Adventure', 'Point & Click', 'Comedy', 'Detective', 'Episodic', 'Mystery', 'Action', 'Funny', 'Singleplayer', 'Story Rich', 'Puzzle', 'Escape Room', 'LGBTQ+']",9.99,502,90,20609,169915,
2355260,Robin Morningwood Adventure - Attack of the gay clones,"['RPG', 'Casual', 'Sexual Content', 'Nudity', 'LGBTQ+', 'Mature', 'NSFW', 'Romance', 'Multiple Endings', 'Dating Sim', 'Fantasy', 'Comedy', '2D', 'Singleplayer', 'Turn-Based Combat', 'Funny', 'Point & Click', 'Interactive Fiction', 'Text-Based']",13.99,28,71,14001,137112,
287371,CoH 2 - The Western Front Armies: Oberkommando West,"['Strategy', 'World War II', 'Multiplayer', 'Singleplayer', 'RTS']",12.99,383,80,8234,92754,
234510,Rising Storm Game of the Year Edition,"['Realistic', 'World War II', 'FPS', 'Action', 'Multiplayer', 'Tactical', 'First-Person', 'War', 'Shooter', 'Historical', 'Military', 'Difficult', 'Simulation', 'Team-Based', 'Strategy', 'Moddable', 'Gore', 'Massively Multiplayer', 'Survival', 'Open World']",19.99,106,99,7279,69759,
41014,Serious Sam HD: The Second Encounter,"['FPS', 'Action', 'Co-op', 'Shooter', 'Comedy', 'Multiplayer', 'Indie', 'Classic', 'Online Co-Op', 'Gore', 'Singleplayer', 'Cult Classic', 'First-Person', 'Great Soundtrack', 'Remake', 'Aliens', 'Sci-fi', 'Funny', 'Colorful', 'Arena Shooter']",19.99,730,91,23870,69119,
317850,Company of Heroes 2 - Ardennes Assault,"['Strategy', 'World War II', 'RTS', 'Singleplayer', 'Multiplayer', 'War', 'Action', 'Adventure', 'Historical', 'Co-op', 'Open World', 'Military', 'Free to Play']",19.99,918,58,11760,61297,
222618,Train Simulator: East Coast Main Line London-Peterborough Route Add-On,"['Simulation', 'Trains']",19.99,62,82,1722,29018,
3009800,3D PUZZLE - OutPost,"['Action', 'Adventure', 'Casual', 'Racing', 'RPG', 'Simulation', 'Sports', 'Strategy', 'Action Roguelike', 'Action RPG', 'Animation & Modeling', 'Battle Royale', 'Point & Click', 'Puzzle', 'Roguelike', 'Tabletop', '3D Platformer', 'Boomer Shooter', 'Card Battler', 'Choose Your Own Adventure']",199.99,24,63,132,13246,39
744600,Balloonatics,"['Physics', 'Action', 'Fast-Paced', 'Cartoony', 'Casual', 'Funny', 'Driving', 'Multiplayer', 'Team-Based', 'Flight', 'Shooter', 'Arena Shooter', 'VR', 'Indie', 'FPS', 'First-Person', 'Colorful', 'Atmospheric', 'Arcade', '3D']",9.99,22,91,728,8575,280
25808,Europa Universalis III: Divine Wind,"['Strategy', 'Grand Strategy']",9.99,40,85,1092,6682,
258643,Train Simulator: NEC: New York-New Haven Route Add-On,"['Simulation', 'Trains']",24.99,42,71,989,6408,
222606,Train Simulator: Pacific Surfliner® LA - San Diego Route,"['Simulation', 'Trains']",19.99,36,100,780,6044,
29540,Guild Wars® Game of the Year Edition,"['RPG', 'Massively Multiplayer', 'Story Rich', 'Fantasy']",19.99,9,89,323,5280,
260080,YOU DON'T KNOW JACK Vol. 6 The Lost Gold,"['Trivia', 'Casual', 'Indie', 'Strategy', 'Party Game', 'Comedy']",1.99,85,41,3128,3570,
423730,Hyper Gods,"['Action', 'Indie', 'Local Multiplayer', 'Co-op', 'Arcade', 'Competitive', 'Retro', ""Shoot 'Em Up""]",6.99,15,87,308,1857,211
3047770,Grouls,"['Horror', 'Thriller', 'Psychological Horror', 'Walking Simulator', 'Cinematic', '3D Platformer', 'FPS', 'Realistic', ""1990's"", 'First-Person', 'Surreal', 'Arcade', 'Strategy', 'Action-Adventure', '3D', 'Psychological', 'Linear', 'Action', 'Dark', 'Singleplayer']",3.99,27,63,474,1702,104
71120,Shining Force,"['RPG', 'Strategy RPG', 'Turn-Based Strategy', 'Retro', 'JRPG', 'Fantasy', 'Strategy', 'Classic', 'Tactical RPG', 'Singleplayer']",0.99,20,95,644,1519,
71164,Streets of Rage,"[""Beat 'em up"", 'Action', 'Classic', 'Arcade', '2D', 'Great Soundtrack', 'Retro', 'Local Co-Op']",0.99,20,95,621,1392,
3021150,GooGooRise,"['Adventure', 'Psychological Horror', 'Difficult', 'Precision Platformer', 'Action', 'Pixel Graphics', 'RPG', '2D', 'Action-Adventure', 'Action RPG', '2D Platformer', 'Puzzle Platformer', 'Exploration', 'Cute', ""1990's"", 'Underground', 'Relaxing', 'Parkour', 'Physics', 'Singleplayer']",2.99,35,100,616,1158,47
71165,Streets of Rage 2,"[""Beat 'em up"", 'Action', 'Classic', 'Retro', 'Great Soundtrack', 'Arcade', 'Local Co-Op', 'Fighting', '2D', ""1990's""]",0.99,24,96,528,1125,
34313,Sonic Spinball™,"['Pinball', 'Action', '2D', 'Classic', 'Great Soundtrack', 'Retro', 'Singleplayer', 'Difficult']",4.99,10,90,304,1011,
29700,Guild Wars: Eye of the North®,"['Massively Multiplayer', 'RPG', 'Action', 'MMORPG', 'Fantasy', 'Multiplayer']",19.99,2,100,60,998,
682730,Hearing,"['Indie', 'Casual', 'Adventure', 'First-Person', 'Singleplayer', 'Walking Simulator', 'Exploration', 'Open World', 'Short', 'Hidden Object']",0.99,32,44,1180,912,
277751,The Count of Monster Disco,"['Simulation', 'Trains', 'Singleplayer', 'Family Friendly', 'Driving', 'Casual', 'Sandbox', 'Open World', 'Atmospheric', 'TrackIR', 'Level Editor', 'Relaxing', 'Moddable', 'Building', 'Horror', 'Realistic', 'City Builder', 'Sports']",9.99,14,79,330,888,
71160,Shining Force II,"['RPG', 'Turn-Based Strategy', 'Strategy RPG', 'Retro', 'JRPG', 'Fantasy', 'Tactical RPG', 'Strategy', 'Classic', '2D']",0.99,14,100,399,875,
3025730,Dead for Dread,"['Adventure', 'Action', 'Arcade', 'Platformer', 'Action-Adventure', '2D Platformer', 'Side Scroller', '2D', 'Pixel Graphics', 'Atmospheric', 'Combat', 'Singleplayer']",29.99,11,91,57,922,25
71116,Alien Soldier,"['Action', 'Platformer', 'Retro', '2D', 'Classic', 'Difficult', 'Side Scroller', 'Boss Rush']",0.99,12,100,324,748,
3025800,Demon Slayer,"['Adventure', 'Action', 'Platformer', 'Action-Adventure', 'Side Scroller', 'Puzzle Platformer', '2D', 'Pixel Graphics', 'Indie', 'Casual', 'Combat', 'Linear']",29.99,11,91,53,858,29
3028300,Happy Souls,"['Metroidvania', 'Spectacle fighter', 'Mystery Dungeon', 'Adventure', 'Hack and Slash', 'Hidden Object', 'Puzzle', 'Action', 'Demons', 'Survival', 'Retro', 'Old School', 'Singleplayer']",39.99,50,86,501,706,674
71166,ToeJam & Earl,"['Adventure', 'Classic', 'Great Soundtrack', 'Local Co-Op', 'Comedy', 'Roguelike', 'Funny', '2D']",0.99,8,100,210,675,
3032640,Gravitational Phenomenon,"['Precision Platformer', 'Indie', '3D Platformer', 'Arcade', '3D', 'Casual', 'Action', 'Singleplayer']",59.99,0,0,1,53,6
71117,Gunstar Heroes,"['Action', 'Classic', 'Side Scroller', ""Shoot 'Em Up"", 'Co-op', 'Platformer', 'Local Co-Op', 'Retro', '2D', 'Great Soundtrack']",0.99,17,94,242,573,
211206,Streets of Rage 3,"['Action', ""Beat 'em up"", 'Arcade', '2D']",0.99,10,90,266,540,
71118,Landstalker: The Treasures of King Nole,"['RPG', 'Isometric', 'Classic', 'Retro', 'Action RPG']",0.99,8,100,240,525,
34285,Columns™,"['Casual', 'Strategy', 'Puzzle', 'Classic']",0.99,12,75,308,601,
211205,Phantasy Star IV: The End of the Millennium,"['JRPG', 'Classic', 'RPG', 'Sci-fi', 'Fantasy', 'Adventure', 'Anime', 'Retro', 'Great Soundtrack', '2D', 'Turn-Based']",0.99,9,100,210,449,
71119,Light Crusader,"['RPG', 'Retro', 'Isometric']",0.99,7,100,180,399,
34316,Bio-Hazard Battle™,"['Action', ""Shoot 'Em Up""]",0.99,9,89,171,357,
34284,Bonanza Bros.™,"['Action', 'Stealth', 'Local Co-Op', 'Classic', 'Crime']",0.99,9,100,165,339,
3025240,DIED,"['Horror', 'Psychological Horror', 'Walking Simulator', 'Dark', 'Singleplayer', '3D', 'Simulation', 'Indie', 'Automation', 'Puzzle Platformer', 'Action', 'Adventure', 'RPG']",3.99,6,100,55,326,21
34273,Crack Down™,"['Action', 'Top-Down', 'Retro', 'Classic']",0.99,10,100,165,324,
2973700,Goblin Hotdogs,"['Early Access', 'Adventure', 'Casual', 'Puzzle Platformer', 'Cute', 'Hidden Object', 'Archery', 'Funny', 'Platformer', 'Puzzle', '3D Platformer', 'Medieval', '3D', 'Colorful', 'Stylized', 'Magic', 'Relaxing', 'Controller', 'Physics', 'First-Person']",3.99,16,94,104,318,48
3065880,Get To The Top,"['Difficult', 'Precision Platformer', '2.5D', 'Singleplayer', 'Intentionally Awkward Controls', 'Physics', 'Parkour', 'Platformer', '2D Platformer', '2D', 'Side Scroller', '3D', 'Psychological Horror', 'Funny', 'Action', 'Surreal', 'Nature', '3D Platformer']",7.99,3,100,44,284,14
211200,Beyond Oasis,"['Action', 'Classic', 'RPG', 'Adventure', 'Retro']",0.99,6,100,120,283,
34279,Space Harrier™ II,"['Action', 'Arcade', 'Classic', 'Retro']",0.99,7,100,135,274,
34310,Galaxy Force II™,"['Action', ""Shoot 'Em Up""]",0.99,6,83,138,256,
34287,Ecco™ Jr.,"['Adventure', 'Underwater', 'Classic']",0.99,7,86,126,244,
211209,Wonder Boy in Monster World,"['Metroidvania', 'Classic', 'Side Scroller', 'Retro', 'RPG']",0.99,6,100,120,220,
71161,Shining in the Darkness,"['RPG', 'Dungeon Crawler', 'Retro', 'First-Person', 'Classic', 'Grid-Based Movement', 'Party-Based RPG', 'JRPG']",0.99,5,100,105,193,
2379300,Get Those Bugs,"['Strategy', 'Tower Defense', 'Card Game', 'Bullet Hell', 'Card Battler', '2D', 'Anime', 'Cute', 'Pixel Graphics', 'Magic', 'Sci-fi', 'Indie', 'Tactical', 'Gun Customization', 'Singleplayer', 'Funny', 'Character Customization']",5.99,6,100,34,183,26
3032530,Grocery Simulator,"['Simulation', 'Life Sim', 'Colony Sim', 'Exploration', 'Time Management', '3D', 'Cartoony', 'First-Person', 'Automation', 'Action', 'Indie', 'Combat', 'Resource Management', 'Singleplayer']",4.99,2,0,30,160,34
211203,Phantasy Star II,"['JRPG', 'RPG', 'Classic', 'Sci-fi', '2D', 'Adventure', 'Turn-Based', 'Singleplayer']",0.99,3,67,75,156,
211204,Phantasy Star III: Generations of Doom,"['JRPG', 'RPG', 'Fantasy', '2D']",0.99,3,67,75,156,
42900,Hearts of Iron III: Semper Fi,"['Strategy', 'Grand Strategy', 'World War II']",4.99,1,100,45,129,
34288,Eternal Champions™,"['Action', 'Fighting', '2D Fighter', 'Classic']",0.99,7,86,105,127,
211202,Golden Axe III,"[""Beat 'em up"", 'Fantasy', '2D', 'Retro', 'Co-op', 'Classic', 'Action']",0.99,4,100,60,107,
211208,VectorMan 2,"['Platformer', 'Action', 'Classic']",0.99,4,100,60,107,
3042280,Drop It! Jelly Man,"['Adventure', 'Casual', 'Action-Adventure', 'Platformer', '2D Platformer', '2D', 'Cute', 'Pixel Graphics', 'Nature', 'Comedy', 'Indie', 'Early Access', 'Parkour', 'Fantasy', 'Singleplayer']",4.99,9,78,29,78,9
34315,Alien Storm,"['Action', 'Arcade', ""Beat 'em up"", 'Classic', 'Aliens']",0.99,8,88,100,121,
2204530,Getting There,"['Interactive Fiction', 'Walking Simulator', 'Female Protagonist', '3D', 'Post-apocalyptic', 'Relaxing', 'Multiple Endings', 'Story Rich', 'Colorful', 'Minimalist', 'Stylized', 'Lovecraftian', 'Sci-fi', 'Atmospheric', 'Emotional', 'Adventure', 'Mystery', 'Singleplayer', 'Indie']",4.99,3,100,18,56,35
211207,The Revenge of Shinobi,"['Ninja', 'Platformer', 'Retro', 'Action', 'Classic', 'Singleplayer']",0.99,6,67,75,55,
3023660,Gay Sex Adventures - Episode 8,"['Sexual Content', 'Nudity', 'Visual Novel', 'Mature', 'Adventure', 'NSFW', 'Casual', 'LGBTQ+', 'Dating Sim', '3D', 'Cinematic', 'Colorful', 'Realistic', 'Relaxing', 'Romance', 'Linear', 'Indie', 'Story Rich', 'Singleplayer']",4.99,1,100,11,45,26
2868380,Feed Da King,"['Idler', 'Clicker', '2D', 'Automation', 'Pixel Graphics', 'Cute', 'Singleplayer', 'Indie', 'Casual']",5.99,6,83,8,43,13
42147,Hamilton's Great Adventure - Retro Fever DLC,"['Adventure', 'Indie', 'Casual']",0.99,1,100,15,13,
3059290,Deep Dungeon Knight,"['Casual', 'Dungeon Crawler', 'Indie', 'Roguelike', '3D', 'Action', 'Singleplayer']",5.99,0,0,1,5,3
3030820,Goo Go,"['Difficult', 'Online Co-Op', 'Parkour', 'Physics', 'Precision Platformer', '3D Platformer', 'Indie', 'Co-op', 'Intentionally Awkward Controls', 'Funny', 'Multiplayer', 'Nature', 'Singleplayer', 'Platformer', 'Surreal', 'Early Access', 'Action', 'RPG', 'Psychological Horror', 'Third Person']",0.99,0,0,1,0,14
3024950,Glen: A Dull Journey into the Unremarkable,"['Casual', 'Immersive Sim', 'Action-Adventure', 'Funny', 'Cartoony', 'Family Friendly', 'Cartoon', 'RPG', 'Indie', 'Singleplayer']",1.44,2,100,1,1,8
2172860,The Elder Scrolls Online: Necrom,"['RPG', 'Action', 'Adventure', 'Massively Multiplayer', 'Open World', 'Fantasy', 'MMORPG', 'Exploration', 'Multiplayer', 'Supernatural', 'Singleplayer', 'Character Customization', 'Story Rich', 'PvP', 'PvE', 'Choose Your Own Adventure', 'Lore-Rich', 'Action RPG', 'Class-Based', 'Dark Fantasy']",0,265,71,13200,0,
901663,Sam & Max: Season Two,"['Adventure', 'Cult Classic', 'America', 'Great Soundtrack', '2D', 'Point & Click', 'Retro', 'Funny', 'Story Rich', ""1990's"", 'Singleplayer']",0,186,89,26890,0,
3057550,Get Rich,"['Action Roguelike', 'Third-Person Shooter', 'Top-Down Shooter', 'Roguelite', 'Shooter', 'Roguelike', '2D', 'Comic Book', 'Top-Down', 'Underground', 'Action', 'Casual', 'Procedural Generation', 'Cartoony', 'Colorful', 'Atmospheric', 'Drama', 'Investigation', ""1990's"", 'Combat']",0.99,0,0,1,0,11
3011620,Glow up 1,"['Casual', 'Auto Battler', 'God Game', 'Real Time Tactics', 'Wargame', 'Idler', 'Cute', 'Anime', 'Colorful', 'Comic Book', 'Automation', 'Atmospheric', 'Controller', 'Team-Based', 'Physics', 'Procedural Generation', 'Singleplayer', 'Indie']",0.99,2,50,1,0,19
3046670,Glow up 2,"['Auto Battler', 'Casual', 'Physics', '2.5D', 'Cute', 'Procedural Generation', 'Simulation', '2D', 'Anime', 'Indie', 'Singleplayer', 'Idler', 'God Game', 'Automation']",0.99,1,100,1,0,18
3023380,Hazardous island,"['Action', 'Adventure', 'Action-Adventure', 'Shooter', 'Singleplayer', 'Walking Simulator', 'Choose Your Own Adventure', 'Collectathon', 'Story Rich', 'Open World', 'Exploration', 'FPS', 'Hero Shooter', '3D', 'First-Person', 'Realistic', 'Drama', 'Emotional', 'Funny', 'Logic']",0,8,100,191,0,42
